Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_DSS_BIZON,Submachine gun  <br/>Caliber: 9x18mm,Submachine gun  <br/>Caliber: 9x18mm,Pistolet-mitrailleur <br/>Calibre : 9x18 mm,Metralleta  <br/>Calibre: 9x18 mm,Fucile mitragliatore <br/>Calibro: 9x18 mm,Maschinenpistole <br/>Kaliber: 9x18mm,Пистолет-пулемет <br/>Патрон: 9x18мм,Pistolet maszynowy  <br/>Kaliber: 9x18mm,Samopal <br/>Kalibr: 9x18mm,Géppisztoly <br/> Kaliber: 9x19mm,Submachine gun  <br/>Caliber: 9x18mm
STR_DSS_BIZON_SD,Silenced submachine gun  <br/>Caliber: 9x18mm,Silenced submachine gun  <br/>Caliber: 9x18mm,Pistolet-mitrailleur à silencieux  <br/>Calibre : 9x18 mm,Metralleta con silenciador  <br/>Calibre: 9x18 mm,Fucile mitragliatore con silenziatore <br/>Calibro: 9x18 mm,Schallgedämpfte Maschinenpistole <br/>Kaliber: 9x18mm,Пистолет-пулемет с ПБС  <br/>Патрон: 9х18 мм,Pistolet maszynowy z tłumikiem  <br/>Kaliber: 9x18mm,Samopal s tlumičem <br/>Kalibr: 9x18mm,Hangtompítós géppisztoly <br/> Kaliber: 9x19mm,Silenced submachine gun  <br/>Caliber: 9x18mm
STR_DSS_AKS74_UN_KOBRA,Assault rifle<br/>Caliber: 5.45x39mm,Assault rifle<br/>Caliber: 5.45x39mm,Fusil d'assaut<br/>Calibre : 5.45x39 mm,"Fusil de asalto<br/>Calibre: 5,45x39 mm","Fucile d'assalto<br/>Calibro: 5,45x39 mm","Sturmgewehr<br/>Kaliber: 5,45x39mm",Автомат<br/>Калибр: 5.45 мм,"Karabin szturmowy<br/>Kaliber: 5,45x39mm","Útočná puška<br/>Kalibr: 5,45x39mm",Gépkarabély <br/> Kaliber: 5.45x39mm,Assault rifle<br/>Caliber: 5.45x39mm
STR_DSS_AT13,Anti-tank missile launcher<br>Unguided,Anti-tank missile launcher<br>Unguided,Lance-missiles AC<br>[LB] Sans guidage,Lanzamisiles antitanque<br>[LB] No dirigido,Lanciamissili anticarro<br>Non guidato,Panzerabwehrwaffe<br>Ungelenkt,Противотанковый ракетный комплекс<br/>с системой наведения ПТУР,Wyrzutnia pocisków przeciwpancernych<br>Niekierowane,Odpalovací zařízení protitankových střel<br/>Neřízené,Páncéltörő rakéta<br>Nem irányított,Anti-tank missile launcher<br>Unguided
STR_DSS_AK107_GL_KOBRA,Assault rifle with grenade launcher<br/>Caliber: 5.45x39mm,Assault rifle with grenade launcher<br/>Caliber: 5.45x39mm,Fusil d'assaut avec lance-grenades<br/>Calibre : 5.45x39 mm,"Fusil de asalto con lanzagranadas<br/>Calibre: 5,45x39 mm","Fucile d'assalto con lanciagranate <br/>Calibro: 5,45x39 mm","Sturmgewehr mit Granatwerfer <br/>Kaliber: 5,45x39mm",Автомат с подствольным гранатометом<br/>Калибр: 5.45 мм,"Karabin szturmowy z granatnikiem<br/>Kaliber: 5,45x39mm","Útočná puška s granátometem<br/>Kalibr: 5,45x39mm",Gépkarabély gránátvetővel <br/> Kaliber: 5.45x39mm,Assault rifle with grenade launcher<br/>Caliber: 5.45x39mm
STR_DSS_AK107_GL_PSO,Assault rifle with grenade launcher<br/>Caliber: 5.45x39mm,Assault rifle with grenade launcher<br/>Caliber: 5.45x39mm,Fusil d'assaut avec lance-grenades<br/>Calibre : 5.45x39 mm,"Fusil de asalto con lanzagranadas<br/>Calibre: 5,45x39 mm","Fucile d'assalto con lanciagranate <br/>Calibro: 5,45x39 mm","Sturmgewehr mit Granatwerfer <br/>Kaliber: 5,45x39mm","Автомат с подствольным гранатометом<br/>Калибр 5,45 мм","Karabin szturmowy z granatnikiem<br/>Kaliber: 5,45x39mm","Útočná puška s granátometem<br/>Kalibr: 5,45x39mm",Gépkarabély gránátvetővel <br/> Kaliber: 5.45x39mm,Assault rifle with grenade launcher<br/>Caliber: 5.45x39mm
STR_DN_VSS,VSS Vintorez,VSS Vintorez,VSS Vintorez,VSS Vintorez,VSS Vintorez,VSS Vintorez,ВСС 'Винторез',VSS Vintorez,VSS Vintorez,VSzSz Vintorez,VSS Vintorez
STR_DSS_9K32,Surface-to-air missile launcher <br/>Guided,Surface-to-air missile launcher <br/>Guided,Lance-missiles Sol-Air <br/>Guidés,Lanzamisiles tierra-aire dirigido <br/>Guided,Lanciamissili terra-aria <br/>Guidati,Boden-Luft-Raketenwerfer <br/>Gelenkt,Переносной зенитно-ракетный комплекс<br/>ЗУР с ГСН,Wyrzutnia rakiet ziemia-powietrze <br/>Kierowane,Odpalovací zařízení střel země-vzduch <br/>Řízené,Föld levegő rakétavető <br/> Irányított,Surface-to-air missile launcher <br/>Guided
STR_DSS_AK47M,Assault rifle<br/>Caliber: 7.62x39mm,Assault rifle<br/>Caliber: 7.62x39mm,Fusil d'assaut<br/>Calibre : 7.62x39 mm,"Fusil de asalto<br/>Calibre: 7,62x39 mm","Fucile d'assalto <br/>Calibro: 7,62x39 mm","Sturmgewehr<br/>Kaliber: 7,62x39mm","Автомат<br/>Патрон: 7,62x39мм","Karabin szturmowy<br/>Kaliber: 7,62x39mm","Útočná puška<br/>Kalibr: 7,62x39mm",Gépkarabély <br/> Kaliber: 7.62x39,Assault rifle<br/>Caliber: 7.62x39mm
STR_DSS_AK47S,Assault rifle<br/>Caliber: 7.62x39mm,Assault rifle<br/>Caliber: 7.62x39mm,Fusil d'assaut<br/>Calibre : 7.62x39 mm,"Fusil de asalto<br/>Calibre: 7,62x39 mm","Fucile d'assalto <br/>Calibro: 7,62x39 mm","Sturmgewehr<br/>Kaliber: 7,62x39mm","Автомат<br/>Калибр: 7,62 мм","Karabin szturmowy<br/>Kaliber: 7,62x39mm","Útočná puška<br/>Kalibr: 7,62x39mm",Gépkarabély <br/> Kaliber: 7.62x39mm,Assault rifle<br/>Caliber: 7.62x39mm
STR_DSS_AK107_KOBRA,Assault rifle<br/>Caliber: 5.45x39mm,Assault rifle<br/>Caliber: 5.45x39mm,Fusil d'assaut<br/>Calibre : 5.45x39 mm,"Fusil de asalto<br/>Calibre: 5,45x39 mm","Fucile d'assalto<br/>Calibro: 5,45x39 mm","Sturmgewehr<br/>Kaliber: 5,45x39mm",Автомат с коллиматорным прицелом<br/>Калибр: 5.45 мм,"Karabin szturmowy<br/>Kaliber: 5,45x39mm","Útočná puška<br/>Kalibr: 5,45x39mm",Gépkarabély <br/> Kaliber: 5.45x39mm,Assault rifle<br/>Caliber: 5.45x39mm
STR_DSS_AK107_PSO,Assault rifle<br/>Caliber: 5.45x39mm,Assault rifle<br/>Caliber: 5.45x39mm,Fusil d'assaut<br/>Calibre : 5.45x39 mm,"Fusil de asalto<br/>Calibre: 5,45x39mm","Fucile d'assalto<br/>Calibro: 5,45x39 mm","Sturmgewehr<br/>Kaliber: 5,45x39mm",Автомат с оптическим прицелом<br/>Патрон: 5.45x39мм,"Karabin szturmowy<br/>Kaliber: 5,45x39mm","Útočná puška<br/>Kalibr: 5,45x39mm",Gépkarabély <br/> Kaliber: 5.45x39mm,Assault rifle<br/>Caliber: 5.45x39mm
STR_DN_PK,PKM,PKM,PKM,PKM,PK,PKM,ПКМ,PKM,PK,PKM,PKM
STR_DN_PECHENEG,PKP,PKP,PKP,PKP,PKP,PKP,ПКП 'Печенег',PKP,PKP,PKP,PKP
STR_DN_SAIGA12K,Saiga 12K,Saiga 12K,Saiga 12K,Saiga 12K,Saiga 12K,Saiga 12K,Сайга 12К,Saiga 12K,Sajga 12K,Saiga 12K,Saiga 12K
STR_DN_RPK_74,RPK,RPK,RPK,RPK,RPK,RPK,РПК-74,RPK,RPK,RPK,RPK
STR_DN_SVD,SVD Dragunov,SVD Dragunov,SVD Dragunov,SVD Dragunov,SVD Dragunov,SVD Dragunov,СВД,SWD Dragunow,SVD Dragunov,SzVD Dragunov,SVD Dragunov
STR_DN_STINGER,FIM-92F Stinger,FIM-92F Stinger,FIM-92F Stinger,FIM-92F Stinger,FIM-92F Stinger,FIM-92F Stinger,ПЗРК FIM-92F 'Стингер',FIM-92F Stinger,FIM-92F Stinger,FIM-92F Stinger,FIM-92F Stinger
STR_DN_SMOKE,Smoke Grenade,Smoke Grenade,Grenade fumigène,Granada de humo,Granata fumogena,Rauchgranate,Дымовая граната,Granat dymny,Dýmovnice,Füstgránát,Smoke Grenade
STR_DN_SVD_CAMO,SVD Camo,SVD Camo,SVD Camo,SVD Camo,SVD mimetico,SVD Camo,СВД (кмфл),SWD Camo,SVD Camo,SzVD Álcázott,SVD Camo
STR_DN_M4A1_RCO_GL,M4A1 M203 RCO,M4A1 M203 RCO,M4A1 M203 ACOG,M4A1 M203 ACOG,M4A1 M203 ACOG,M4A1 M203 RCO,M4A1 M203 RCO,M4A1 M203 RCO,M4A1 M203 ACOG,M4A1 M203 RCO,M4A1 M203 RCO
STR_DN_M4A1_HWS_GL_SD_CAMO,M4A1 Holo SD,M4A1 Holo SD,M4A1 Holo SD,M4A1 Holo SD,M4A1 Holo SD,M4A1 Holo SD,M4A1 Holo M203 ПБС (кмфл),M4A1 Holo SD,M4A1 Holo SD,M4A1 SD/M203,M4A1 Holo SD
STR_DN_MG36,MG36,MG36,MG36,MG36,MG36,MG36,MG36,MG36,MG36,MG36,MG36
STR_DN_M9SD,M9 Silenced,M9 Silenced,M9 à silencieux,M9 con silenciador,M9 con silenziatore,M9 schallgedämpft,M9 ПБС,M9 z tłumikiem,M9 s tlumičem,M9 SD,M9 Silenced
STR_DN_MP5A5,MP5A5,MP5A5,MP5A5,MP5A5,MP5A5,MP5A5,MP5A5,MP5A5,MP5A5,MP5A5,MP5A5
STR_DN_MK48,Mk 48 Mod 0,Mk 48 Mod 0,Mk 48 Mod 0,Mk 48 Mod 0,Mk 48 Mod 0,Mk 48 Mod 0,Mk 48 Mod 0,Mk 48 Mod 0,Mk 48 Mod 0,Mk 48 Mod 0,Mk 48 Mod 0
STR_DN_NV_GOGGLES,NV Goggles,NV Goggles,JVN,Sistema de visión nocturna,Occhiali VN,Nachtsichtgerät,ПНВ,Gogle noktowizyjne,Noktovizor,Éjjellátó szemüveg,NVゴーグル
STR_DN_MP5SD,MP5SD6,MP5SD6,MP5SD6,MP5SD6,MP5SD6,MP5SD6,MP5SD6,MP5SD6,MP5SD6,MP5SD6,MP5SD6
STR_DN_M4_SPR,Mk12 SPR,Mk12 SPR,SPR Mk12,Mk12 SPR,Mk12 SPR,Mk12 SPR,Mk12 SPR,SPR Mk12,Mk12 SPR,Mk12 SPR,Mk12 SPR
STR_DN_M40A3,M40A3,M40A3,M40A3,M40A3,M40A3,M40A3,M40A3,M40A3,M40A3,M40A3,M40A3
STR_DN_M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1,M4A1
STR_DN_M4A1_AIM,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO
STR_DN_M4A1_AIM_CAMO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO,M4A1 CCO Camo,M4A1 CCO
STR_DN_M4A1_CAMO_SD,M4A1 CCO SD,M4A1 CCO SD,M4A1 CCO SD,M4A1 CCO SD,M4A1 CCO SD,M4A1 CCO SD,M4A1 CCO ПБС,M4A1 CCO SD,M4A1 CCO SD,M4A1 SD Camo,M4A1 CCO SD
STR_DN_M4A1_HWS_GL,M4A1 Holo,M4A1 Holo,M4A1 Holo,M4A1 Holo,M4A1 Holo,M4A1 Holo,M4A1 Holo M203,M4A1 Holo,M4A1 Holo,M4A1 Holo./M203,M4A1 Holo
STR_DN_M4A1_HWS_GL_CAMO,M4A1 Holo,M4A1 Holo,M4A1 Holo,M4A1 Holo,M4A1 Holo,M4A1 Holo,M4A1 Holo M203 (кмфл),M4A1 Holo,M4A1 Holo,M4A1 SOPMOD/M203,M4A1 Holo
STR_DN_M16A4,M16A4,M16A4,M16A4,M16A4,M16A4,M16A4,M16A4,M16A4,M16A4,M16A4,M16A4
STR_DN_M16A4_GL,M16A4 M203,M16A4 M203,M16A4 M203,M16A4 M203,M16A4 M203,M16A4 M203,M16A4 M203,M16A4 M203,M16A4 M203,M16A4/M203,M16A4 M203
STR_DN_M16A4_RCO,M16A4 ACOG,M16A4 ACOG,M16A4 ACOG,M16A4 ACOG,M16A4 ACOG,M16A4 ACOG,M16A4 ACOG,M16A4 ACOG,M16A4 ACOG,M16A4 ACOG,M16A4 ACOG
STR_DN_M16A4_RCO_GL,M16A4 M203 ACOG,M16A4 M203 ACOG,M16A4 M203 ACOG,M16A4 M203 ACOG,M16A4 M203 ACOG,M16A4 M203 ACOG,M16A4 M203 ACOG,M16A4 M203 ACOG,M16A4 M203 ACOG,M16A4 ACOG/M203,M16A4 M203 ACOG
STR_DN_M1911,M1911,M1911,M1911,M1911,M1911,M1911,M1911,M1911,M1911,M1911,M1911
STR_DN_M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24,M24
STR_DN_M249,M249 SAW,M249 SAW,M249 SAW,M249 SAW,M249 SAW,M249 SAW,M249 SAW,M249 SAW,M249 SAW,M249 SAW,M249 SAW
STR_DN_MAKAROVSD,Makarov Silenced,Makarov Silenced,Makarov à silencieux,Makarov con silenciador,Makarov con silenziatore,Makarow schallgedämpft,ПБ,Makarow z tłumikiem,Makarov s tlumičem,Makarov SD,Makarov Silenced
STR_DN_M16A2GL,M16A2 M203,M16A2 M203,M16A2 M203,M16A2 M203,M16A2 M203,M16A2 M203,M16A2 M203,M16A2 M203,M16A2 M203,M16A2/M203,M16A2 M203
STR_DN_M16A2,M16A2,M16A2,M16A2,M16A2,M16A2,M16A2,M16A2,M16A2,M16A2,M16A2,M16A2
STR_DN_M136,M136 Launcher,M136 Launcher,Lance-roquettes M136,Lanzador M136,Lanciarazzi M136,M136 Granatwerfer,M136/AT4,M136 wyrzutnia,Raketomet M136,M136,M136 Launcher
STR_DN_M1014,M1014,M1014,M1014,M1014,M1014,M1014,M1014,M1014,M1014,M1014,M1014
STR_DN_KSVK,KSVK,KSVK,KSVK,KSVK,KSVK,KSVK,КСВК,KSWK,KSVK,KSzVK,KSVK
STR_DN_JAVELIN,FGM-148 Javelin,FGM-148 Javelin,FGM-148 Javelin,Javelin FGM-148,Lanciarazzi Javelin,FGM-148 Javelin,ПТРК 'Джавелин',FGM-148 Javelin,Raketomet Javelin,FGM-148 Javelin,FGM-148 Javelin
STR_DN_IGLA,Igla 9K38,Igla 9K38,Igla 9K38,Igla 9K38,Igla 9K38,Igla 9K38,ПЗРК 'Игла',Igła 9K38,Igla 9K38,Igla 9K38,Igla 9K38
STR_DN_G36K,G36 K,G36 K,G36 K,G36 K,G36 K,G36 K,G36 K,G36 K,G36 K,G36K,G36 K
STR_DN_G36C,G36 C,G36 C,G36 C,G36 C,G36 C,G36 C,G36 C,G36 C,G36 C,G36C,G36 C
STR_DN_G36_C_SD_EOTECH,G36C-SD,G36C-SD,G36C sil.,G36C-SD,G36C-SD,G36C-SD,G36C ПБС,G36C-SD,G36C-SD,G36C SD,G36C-SD
STR_DN_G36,G36,G36,G36,G36,G36,G36,G36,G36,G36,G36,G36
STR_DN_AKS74PSO,AKS-74 PSO,AKS-74 PSO,AKS-74 PSO,AKS-74 PSO,AKS-74 PSO,AKS-74 PSO,АКС-74 ПСО-1,AKS-74 PSO,AKS-74 PSO,AKSz-74 PSzO,AKS-74 PSO
STR_DN_AKS74_U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,AKS-74U,АКС-74У,AKS-74U,AKS-74U,AKSz-74U,AKS-74U
STR_DN_AKS_74_UN_KOBRA,AKS-74UN Kobra,AKS-74UN Kobra,AKS-74UN Kobra,AKS-74UN Kobra,AKS-74UN Kobra,AKS-74UN Kobra,АКС-74УНБ ЭКП 'Кобра',AKS-74UN Kobra,AKS-74UN Kobra,AKSz-74UN Kobra,AKS-74UN Kobra
STR_DN_AKS_74_KOBRA,AKS-74 Kobra,AKS-74 Kobra,AKS-74 Kobra,AKS-74 Kobra,AKS-74 Kobra,AKS-74 Kobra,АКС-74 ЭКП 'Кобра',AKS-74 Kobra,AKS-74 Kobra,AKSz-74 Kobra,AKS-74 Kobra
STR_DN_AK74GL,AK-74 + GP-25,AK-74 + GP-25,AK-74 + GP-25,AK-74 + GP-25,AK-74 + GP-25,AK-74 + GP-25,АК-74 ГП-25,AK-74 + GP-25,AK-74 + GP-25,AK-74/GP-25,AK-74 + GP-25
STR_DN_AK47M,AKM,AKM,AKM,AKM,AKM,AKM,АКМ,AKM,AKM,AKM,AKM
STR_DN_AK47S,AKS,AKS,AKS,AKS,AKS,AKS,АКС,AKS,AKS,AKSz,AKS
STR_DN_AK_107_KOBRA,AK-107,AK-107,AK-107,AK-107,AK-107,AK-107,АК-107,AK-107,AK-107,AK-107,AK-107
STR_DN_AK_107_PSO,AK-107 PSO,AK-107 PSO,AK-107 PSO,AK-107 PSO,AK-107 PSO,AK-107 PSO,АК-107 ПСО,AK-107 PSO,AK-107 PSO,AK-107 PSzO,AK-107 PSO
STR_DN_AK_107_GL_KOBRA,AK-107 GL,AK-107 GL,AK-107 LG,AK-107 GL,AK-107 GL,AK-107 GL,АК-107 ГП-25,AK-107 GL,AK-107 GL,AK-107/GP-25,AK-107 GL
STR_DN_AK_107_GL_PSO,AK107 GL PSO,AK107 GL PSO,AK107 LG PSO,AK107 GL PSO,AK107 GL PSO,AK107 GL PSO,АК-107 ГП-25 ПСО-1,AK107 GL PSO,AK107 GL PSO,AK-107 PSzO/GP-25,AK107 GL PSO
STR_DN_BIZONSD,Bizon PP-19 SD,Bizon PP-19 SD,Bizon PP-19 sil.,Bizon PP-19 SD,Bizon PP-19 Sil.,Bizon PP-19 SD,ПП-19 'Бизон' ПБС,Bizon PP-19 SD,Bizon PP-19 SD,Bizon PP-19 SD,Bizon PP-19 SD
STR_DN_DMR,DMR,DMR,DMR,DMR,DMR,DMR,DMR,DMR,DMR,DMR,DMR
STR_DN_WEAPONEXPLOSIVE,Explosive,Explosive,Explosif,Explosivo,Esplosivo,Sprengstoff,Взрывчатка,Ładunek wybuchowy,Výbušnina,Robbanószer,Explosive
STR_DN_BIZON,Bizon PP-19,Bizon PP-19,Bizon PP-19,Bizon PP-19,Bizon PP-19,Bizon PP-19,ПП-19 'Бизон',Bizon PP-19,Bizon PP-19,Bizon PP-19,Bizon PP-19
STR_DN_KOSTEY_PHOTOS,Kostey's photos,Kostey's photos,Photos de Kostey,Fotos de Kostey,Foto di Kostey,Kosteys Fotos,Фотографии Кости,Zdjęcia Kosteja,Kostejovy fotografie,Kosztej fényképei,Kostey's photos
STR_DN_MOSCOW_BOMBING_FILE,Moscow Bombing File,Moscow Bombing File,Dossier bombardement de Moscou,Archivo de bombardeo de Moscú,Documento sul bombardamento di Mosca,Akte zum Moskauer Attentat,План теракта в Москве,Informacje o zamachu w Moskwie,Moskevský záznam o bombardování,Fájl a moszkvai robbantásról,Moscow Bombing File
STR_DN_KOSTEY_MAP_CASE,Kostey's map case,Kostey's map case,Malette et carte de Kostey,Caja del mapa de Kostey,Portamappa di Kostey,Kosteys Karten,Полевая сумка Кости,Mapnik Kosteja,Kostejovo pouzdro na mapy,Kosztej térképtartója,Kostey's map case
STR_DN_KOSTEY_NOTEBOOK,Kostey's notebook,Kostey's notebook,Carnet de Kostey,Cuaderno de Kostey,Taccuino di Kostey,Kosteys Notebook,Записная книжка Кости,Notatnik Kosteja,Kostejův zápisník,Kosztej jegyzettömbje,Kostey's notebook
STR_DN_CDF_DOGTAGS,CDF dogtags,CDF dogtags,Plaques d'identité FDT,Identificaciones CDF,Piastrine CDF,CDF-Hundemarke,Личные знаки,Identyfikatory WOC,Identifikační známky CDF,CDF dögcédulák,CDF dogtags
STR_DN_COBALT_FILE,Cobalt File,Cobalt File,Fichier Cobalt,Archivo Cobalt,Documento cobalto,Cobalt-Akte,План операции 'Кобальт',Dokumentacja Kobalt,Plány Kobalt,Kobalt fájl,Cobalt File
STR_DN_M242,M242,M242,M242,M242,M242,M242,M242,M242,M242,M242,M242
STR_DN_ZIS_S_53,ZiS-S-53,ZiS-S-53,ZiS-S-53,ZiS-S-53,ZiS-S-53,ZiS-S-53,ЗиС-С-53,ZiS-S-53,ZiS-S-53,ZiSz-Sz-53,ZiS-S-53
STR_DN_M242_MODE_LOW,M242 (100 rpm),M242 (100 rpm),M242 (100 c./min),M242 (100 rpm),M242 (100 muniz./min),M242 (100 U/min),M242 (100 в/мин),M242 (100 st./min.),M242 (100 ran/min),M242 (100 rpm),M242 (100 rpm)
STR_DN_M242_MODE_HIGH,M242 (200 rpm),M242 (200 rpm),M242 (200 c./min),M242 (200 rpm),M242 (200 muniz./min),M242 (200 U/min),M242 (200 в/мин),M242 (200 st./min.),M242 (200 ran/min),M242 (200 rpm),M242 (200 rpm)
STR_DN_TOW,M220 TOW,M220 TOW,BGM-71A TOW,BGM-71A TOW,M220 TOW,M220 TOW,M220 TOW,M220 TOW,M220 TOW,M220 TOW,M220 TOW
STR_DN_SIDEWINDERLAUCHER,AIM-9L Sidewinder,AIM-9L Sidewinder,AIM-9L Sidewinder,Sidewinder AIM-9L,AIM-9L Sidewinder,AIM-9L Sidewinder,AIM-9L 'Сайдвиндер',AIM-9L Sidewinder,AIM-9L Sidewinder,AIM-9L Sidewinder,AIM-9L Sidewinder
STR_DN_YAKB,YakB-12.7,YakB-12.7,YakB-12.7,YakB-12.7,YakB-12.7,YakB-12.7,ЯкБ-12.7,JakB-12.7,JakB-12.7,JakB-12.7,YakB-12.7
STR_DN_VIKHR,VIKHR-1,VIKHR-1,Vikhr 9K121,Vikhr 9K121,VIKHR-1,VIKHR-1,ПТРК 'Вихрь',VIKHR-1,VICHR-1,VIHR,VIKHR-1
STR_DN_M3P,M3P,M3P,M3P,M3P,M3P,M3P,M3P,M3P,M3P,M3P,M3P
STR_DN_M256,M256,M256,M256,M256,M256,M256,M256,M256,M256,M256 Löveg,M256
STR_DN_MK82LAUNCHER,Mk82,Mk82,Mk82,Mk82,Mk82,Mk82,Mk82,Mk82,Mk82,Mk82,Mk82
STR_DN_M61,M61,M61,M61,M61,M61,M61,M61,M61,M61,M61,M61
STR_DN_M134,M134 7.62mm,M134 7.62mm,"M134 7,62 mm","M134 7,62mm","M134 7,62 mm","M134 7,62 mm",M134 (2000 в/мин),"M134 7,62 mm","M134 7,62 mm",M134 7.62mm,M134 7.62mm
STR_DN_IGLA_TWICE,Igla 9K38,Igla 9K38,Igla 9K38,Igla 9K38,Igla 9K38,Igla 9K38,ПЗРК 'Игла',Igła 9K38,Igla 9K38,Igla 9K38,Igla 9K38
STR_DN_M134_4000,M134 (4000 rpm),M134 (4000 rpm),M134 (4000 c./min),M134 (4000 rpm),M134 (4000 muniz./min),M134 (4000 Sch./min),M134 (в/м 4000),M134 (4000 st./min),M134 (4000 otáček),M134 (4000 rpm),M134 (4000 rpm)
STR_DN_M134_2000,M134 (2000 rpm),M134 (2000 rpm),M134 (2000 c./min),M134 (2000 rpm),M134 (2000 muniz./min),M134 (2000 Sch./min),M134 (4000 в/мин),M134 (2000 st./min),M134 (2000 otáček),M134 (2000 rpm),M134 (2000 rpm)
STR_DN_GSH302,GSh-30-2,GSh-30-2,GSh-30-2,GSh-30-2,GSh-30-2,GSh-30-2,ГШ-30К,GSh-30-2,GŠ-30-2,GS-30-2,GSh-30-2
STR_DN_HELIBOMBLAUNCHER,FAB-250,FAB-250,FAB-250,FAB-250,FAB-250,FAB-250,ФАБ-250,FAB-250,FAB-250,FAB-250,FAB-250
STR_DN_HYDRA_PAIR,Hydra,Hydra,Hydra,Hydra,Hydra,Hydra,НАР 'Гидра',Hydra,Hydra,Hydra,Hydra
STR_DN_HYDRA_SINGLE,Hydra,Hydra,Hydra,Hydra,Hydra,Hydra,НАР 'Гидра',Hydra,Hydra,Hydra,Hydra
STR_DN_D81,D-81,D-81,D-81,D-81,D-81,D-81,Д-81,D-81,D-81,2A46 Löveg,D-81
STR_DN_DT_VEH,DT,DT,DT,DT,DT,DT,ДТМ,DT,DT,DT,DT
STR_DN_FLARELAUNCHER,Flares,Flares,Fusées,Bengalas,Fumogeni,Signal-Abschussgerät,Сигнальные ракеты,Flary,Světlice,Jelzőfények,Flares
STR_DN_GSH23L,GSh-23L,GSh-23L,GSh-23L,GSh-23L,GSh-23L,GSh-23L,ГШ-23Л,GSh-23L,GŠ-23L,GS-23L,GSh-23L
STR_DN_AT5LAUNCHER,Konkurs 9M113,Konkurs 9M113,Konkurs 9M113,Konkurs 9M113,Konkurs 9M113,Konkurs 9M113,ПТРК 'Конкурс',Konkurs 9M113,Konkurs 9M113,Konkursz 9M113,Konkurs 9M113
STR_DN_AT6LAUNCHER,Shturm 9K114,Shturm 9K114,Shturm 9K114,Shturm 9K114,Shturm 9K114,Shturm 9K114,ПТРК 'Штурм-В',Shturm 9K114,Šturm 9K114,Sturm 9K114,Shturm 9K114
STR_DN_AT9LAUNCHER,Ataka-V 9M120,Ataka-V 9M120,Ataka-V 9M120,Ataka-V 9M120,Ataka-V 9M120,Ataka-V 9M120,ПТРК 'Атака-В',Ataka-V 9M120,Ataka-V 9M120,Ataka-V 9M120,Ataka-V 9M120
STR_DN_AZP85,4 x AZP-85,4 x AZP-85,4 x AZP-85,4 x AZP-85,4 x AZP-85,4 x AZP-85,4 x АЗП-85,4 x AZP-85,4 x AZP-85,4 x AZP-85,4 x AZP-85
STR_DN_AT10LAUNCHERSINGLE,Arkan 9M117M1,Arkan 9M117M1,Arkan 9M117M1,Arkan 9M117M1,Arkan 9M117M1,Arkan 9M117M1,КУВ 'Бастион',Arkan 9M117M1,Arkan 9M117M1,Arkan 9M117M1,Arkan 9M117M1
STR_DN_AT11LAUNCHERSINGLE,Refleks 9M119M,Refleks 9M119M,Refleks 9M119M,Refleks 9M119M,Refleks 9M119M,Refleks 9M119M,КУВ 'Рефлекс-М',Refleks 9M119M,Refleks 9M119M,Refleksz 9M119M,Refleks 9M119M
STR_DN_AT13LAUNCHERSINGLE,Metis-M 9K115-2,Metis-M 9K115-2,Metis-M 9K115-2,Metis-M 9K115-2,Metis-M 9K115-2,Metis-M 9K115-2,ПТРК Метис-М,Metis-M 9K115-2,Metis-M 9K115-2,Metisz-M 9K115-2,Metis-M 9K115-2
STR_DN_AT2LAUNCHER,Falanga 3M11,Falanga 3M11,Falanga 3M11,Falanga 3M11,Falanga 3M11,Falanga 3M11,ПТРК 'Фаланга',Falanga 3M11,Falanga 3M11,Falanga 3M11,Falanga 3M11
STR_UI_OPTIONS_AUDIO_MENU_DESC,Set audio settings here.,Set audio settings here.,Réglage audio,Configuración del audio.,Set audio settings here.,Stelle Audio ein,Настройки звука.,Set audio settings here.,Set audio settings here.,Set audio settings here.,Set audio settings here.
STR_UI_OPTIONS_AUDIO_MENU,Audio...,Audio...,Audio...,Audio...,Audio...,Audio...,Звук...,Audio...,Audio...,Audio...,Audio...
STR_UI_OPTIONS_GAMEPLAY_MENU_DESC,Set miscellaneous settings here.,Set miscellaneous settings here.,Réglage divers,Otras opciones.,,Stelle anderes ein,Другие настройки,Set miscellaneous settings here.,Set miscellaneous settings here.,Set miscellaneous settings here.,Set miscellaneous settings here.
STR_UI_OPTIONS_GAMEPLAY_MENU,Gameplay...,Gameplay...,Jouabilité...,Jugabilidad...,Gameplay...,Spieleinstellungen...,Игра...,Gameplay...,Gameplay...,Gameplay...,Gameplay...
